"driver_name","constructor_name","year","races","car_avg_grid","driver_avg_finish","avg_overperformance"
"Marc Surer","Ensign",1981,6,20.93,9.83,11.10
"Ronnie Peterson","March-Ford",1971,10,16.61,5.60,11.01
"Marc Surer","Arrows",1982,12,20.75,10.17,10.58
"Huub Rothengatter","Osella",1985,7,23.50,13.14,10.36
"Jean-Marc Gounon","Simtek",1994,7,24.93,14.71,10.21
"Jonathan Palmer","Tyrrell",1987,16,20.66,10.69,9.97
"Pascal Fabre","AGS",1987,12,25.00,15.08,9.92
"Jochen Mass","March",1982,10,22.59,12.80,9.79
"Mauro Baldi","Spirit",1984,8,24.00,14.50,9.50
"Stefan Bellof","Tyrrell",1985,10,21.25,11.90,9.35
"David Brabham","Simtek",1994,16,24.93,15.63,9.30
"Ronnie Peterson","March",1972,12,18.26,9.00,9.26
"Christian Fittipaldi","Minardi",1993,14,20.19,10.93,9.26
"Maurice Trintignant","Cooper-Maserati",1961,5,21.55,12.40,9.15
"Alan Jones","Surtees",1976,14,20.48,11.36,9.13
"Martin Brundle","Tyrrell",1985,16,21.25,12.25,9.00
"Philippe Streiff","Tyrrell",1987,16,20.66,12.31,8.34
"Huub Rothengatter","Spirit",1984,8,24.00,16.00,8.00
"Johnny Herbert","Team Lotus",1991,8,23.17,15.38,7.80
"James Hunt","March",1973,8,17.39,9.63,7.77
"Michel Leclère","Wolf",1976,7,21.89,14.14,7.75
"Jonathan Palmer","RAM",1984,15,23.93,16.20,7.73
"Jonathan Palmer","Zakspeed",1986,16,22.00,14.31,7.69
"Johnny Herbert","Team Lotus",1994,13,20.22,12.54,7.68
"Graham Hill","Lola",1974,15,19.04,11.40,7.64
