"driver_name","year","races","avg_dominance_pct"
"Michael Schumacher",1991,6,61.94
"Michael Schumacher",1992,16,77.93
"Michael Schumacher",1993,16,66.40
"Michael Schumacher",1994,14,84.12
"Michael Schumacher",1995,17,79.07
"Michael Schumacher",1996,16,67.42
"Michael Schumacher",1997,17,73.69
"Michael Schumacher",1998,16,82.35
"Michael Schumacher",1999,10,75.71
"Michael Schumacher",2000,17,79.55
"Michael Schumacher",2001,17,88.80
"Michael Schumacher",2002,17,97.95
"Michael Schumacher",2003,16,82.89
"Michael Schumacher",2004,18,91.52
"Michael Schumacher",2005,19,58.63
"Michael Schumacher",2006,18,84.13
"Michael Schumacher",2010,19,60.64
"Michael Schumacher",2011,19,52.63
"Michael Schumacher",2012,20,42.61
"Max Verstappen",2015,19,46.15
"Max Verstappen",2016,21,71.88
"Max Verstappen",2017,20,56.32
"Max Verstappen",2018,21,73.18
"Max Verstappen",2019,21,78.95
"Max Verstappen",2020,17,67.80
"Max Verstappen",2021,22,83.49
"Max Verstappen",2022,22,86.84
"Max Verstappen",2023,22,98.56
"Max Verstappen",2024,24,85.96
"Max Verstappen",2025,24,85.86
"Max Verstappen",2026,12,59.92
