"driver_name","year","races","avg_dominance_pct"
"Max Verstappen",2023,22,98.56
"Michael Schumacher",2002,17,97.95
"Jim Clark",1963,10,95.86
"Lewis Hamilton",2020,16,95.39
"Ayrton Senna",1991,16,92.77
"Lewis Hamilton",2019,21,92.73
"Sebastian Vettel",2011,19,92.45
"Sebastian Vettel",2013,19,92.23
"Lewis Hamilton",2015,19,91.69
"Michael Schumacher",2004,18,91.52
"Lewis Hamilton",2018,21,91.48
"Alain Prost",1988,16,91.45
"Lewis Hamilton",2017,20,91.05
"Ayrton Senna",1988,16,90.42
"Nico Rosberg",2016,21,89.57
"Michael Schumacher",2001,17,88.80
"Alain Prost",1989,16,88.46
"Alain Prost",1993,16,88.21
"Fernando Alonso",2006,18,87.83
"Lewis Hamilton",2021,22,87.32
