"constructor_name","year","race_starts","finished","mechanical_dnf","other_dnf","mechanical_dnf_pct"
"Toleman",1985,18,1,16,1,88.9
"Osella",1987,16,0,14,2,87.5
"Eagle-Weslake",1967,13,2,11,0,84.6
"Osella",1983,16,2,13,1,81.3
"ATS",1963,10,2,8,0,80.0
"Zakspeed",1985,10,1,8,1,80.0
"Osella",1980,10,1,8,1,80.0
"Maserati",1951,14,3,11,0,78.6
"Simca",1951,13,3,10,0,76.9
"Lola",1991,21,2,16,3,76.2
"Minardi",1986,29,2,22,5,75.9
"BRM",1969,22,5,16,1,72.7
"Osella",1986,28,4,20,4,71.4
"Brabham-Repco",1968,28,6,20,2,71.4
"Wolf",1979,14,2,10,2,71.4
"Zakspeed",1988,14,3,10,1,71.4
"Minardi",1987,31,3,22,6,71.0
"Toleman",1982,17,2,12,3,70.6
"Osella",1988,10,2,7,1,70.0
"Renault",1978,13,4,9,0,69.2
"Gordini",1954,25,6,17,2,68.0
"March",1989,30,7,20,3,66.7
"Gordini",1955,15,4,10,1,66.7
"Footwork",1991,12,4,8,0,66.7
"Brabham",1987,32,7,21,4,65.6
