"driver_name","constructor_name","year","races_compared","races_beat_teammate","win_rate_pct"
"Jenson Button","BAR",2005,17,17,100.0
"Roberto Moreno","Coloni",1989,16,16,100.0
"Roberto Moreno","Euro Brun",1990,14,14,100.0
"Jim Clark","Lotus-Climax",1963,26,25,96.2
"Max Verstappen","Red Bull",2024,24,23,95.8
"Max Verstappen","Red Bull",2025,24,23,95.8
"Dan Gurney","Porsche",1961,20,19,95.0
"Sebastian Vettel","Red Bull",2013,19,18,94.7
"Graham Hill","BRM",1962,17,16,94.1
"Stefano Modena","Tyrrell",1991,16,15,93.8
"Rupert Keegan","Hesketh",1977,16,15,93.8
"Damon Hill","Williams",1994,15,14,93.3
"Jochen Mass","March",1982,15,14,93.3
"Christian Danner","Rial",1989,13,12,92.3
"Max Verstappen","Red Bull",2023,22,20,90.9
"Fernando Alonso","Ferrari",2012,20,18,90.0
"Kimi Räikkönen","Lotus F1",2012,20,18,90.0
"Ronnie Peterson","March-Ford",1971,29,26,89.7
"Fernando Alonso","Ferrari",2013,19,17,89.5
"Robert Kubica","Renault",2010,19,17,89.5
